Facility ID,Facility Criteria Exception Name,Facility Criteria Exception Reason
4008617,Length,should be between 4 and 50
4008617,Width,should be between 3 and 30
2021481,Stations,should be between 5 and 700
4008622,Length,should be between 4 and 50
4008622,Width,should be between 3 and 30
4008632,Length,should be between 4 and 50
4008632,Width,should be between 3 and 30
4008640,Length,should be between 4 and 50
4008640,Width,should be between 3 and 30
4086232,Length,should be between 4 and 50
4086232,Width,should be between 3 and 30
4074587,Length,should be between 4 and 50
4074587,Width,should be between 3 and 30
4008654,Length,should be between 4 and 50
4008654,Width,should be between 3 and 30
4008655,Length,should be between 4 and 50
4008655,Width,should be between 3 and 30
4008656,Length,should be between 4 and 50
4008656,Width,should be between 3 and 30
4008657,Length,should be between 4 and 50
4008657,Width,should be between 3 and 30
4028757,OvalTrackLanes,should be between 4 and 10
4028757,OvalTrackLength,should be 400
4028757,SprintStraightLength,should be between 100 and 150
4028757,StraightTrackLanes,should be between 4 and 12
2008680,Length,should be between 17 and 26
2008680,Width,should be between 9 and 18
4008689,Length,should be between 17 and 26
4008689,Width,should be between 9 and 18
4105539,Stations,should be between 5 and 700
2009402,OvalTrackLength,should be 400
2009402,SprintStraightLength,should be between 100 and 150
2009402,StraightTrackLanes,should be between 4 and 12
2009415,OvalTrackLength,should be 400
2009415,SprintStraightLength,should be between 100 and 150
2009415,StraightTrackLanes,should be between 4 and 12
2009422,OvalTrackLength,should be 400
2009422,SprintStraightLength,should be between 100 and 150
2009422,StraightTrackLanes,should be between 4 and 12
4009425,OvalTrackLength,should be 400
4009425,SprintStraightLength,should be between 100 and 150
4009425,StraightTrackLanes,should be between 4 and 12
4009431,OvalTrackLength,should be 400
4009431,SprintStraightLength,should be between 100 and 150
4009431,StraightTrackLanes,should be between 4 and 12
4009449,OvalTrackLength,should be 400
4009449,SprintStraightLength,should be between 100 and 150
4009449,StraightTrackLanes,should be between 4 and 12
4009469,OvalTrackLength,should be 400
4009469,SprintStraightLength,should be between 100 and 150
4009469,StraightTrackLanes,should be between 4 and 12
2009474,OvalTrackLength,should be 400
2009474,SprintStraightLength,should be between 100 and 150
2009474,StraightTrackLanes,should be between 4 and 12
4009485,OvalTrackLength,should be 400
4009485,SprintStraightLength,should be between 100 and 150
4009485,StraightTrackLanes,should be between 4 and 12
2009491,OvalTrackLength,should be 400
2009491,SprintStraightLength,should be between 100 and 150
2009491,StraightTrackLanes,should be between 4 and 12
4009498,OvalTrackLength,should be 400
4009498,SprintStraightLength,should be between 100 and 150
4009498,StraightTrackLanes,should be between 4 and 12
2009505,OvalTrackLength,should be 400
2009505,SprintStraightLength,should be between 100 and 150
2009505,StraightTrackLanes,should be between 4 and 12
2009516,OvalTrackLength,should be 400
2009516,SprintStraightLength,should be between 100 and 150
2009516,StraightTrackLanes,should be between 4 and 12
4009527,OvalTrackLength,should be 400
4009527,SprintStraightLength,should be between 100 and 150
4009527,StraightTrackLanes,should be between 4 and 12
4009534,OvalTrackLength,should be 400
4009534,SprintStraightLength,should be between 100 and 150
4009534,StraightTrackLanes,should be between 4 and 12
4009539,OvalTrackLength,should be 400
4009539,SprintStraightLength,should be between 100 and 150
4009539,StraightTrackLanes,should be between 4 and 12
2009550,OvalTrackLength,should be 400
2009550,SprintStraightLength,should be between 100 and 150
2009550,StraightTrackLanes,should be between 4 and 12
4009561,OvalTrackLength,should be 400
4009561,SprintStraightLength,should be between 100 and 150
4009561,StraightTrackLanes,should be between 4 and 12
4009565,OvalTrackLength,should be 400
4009565,SprintStraightLength,should be between 100 and 150
4009565,StraightTrackLanes,should be between 4 and 12
2009581,OvalTrackLength,should be 400
2009581,SprintStraightLength,should be between 100 and 150
2009581,StraightTrackLanes,should be between 4 and 12
2009592,OvalTrackLength,should be 400
2009592,SprintStraightLength,should be between 100 and 150
2009592,StraightTrackLanes,should be between 4 and 12
4009595,OvalTrackLength,should be 400
4009595,SprintStraightLength,should be between 100 and 150
4009595,StraightTrackLanes,should be between 4 and 12
4009604,OvalTrackLanes,should be between 4 and 10
4009604,OvalTrackLength,should be 400
4009604,SprintStraightLength,should be between 100 and 150
4009604,StraightTrackLanes,should be between 4 and 12
2009605,OvalTrackLength,should be 400
2009605,SprintStraightLength,should be between 100 and 150
2009605,StraightTrackLanes,should be between 4 and 12
4009618,OvalTrackLength,should be 400
4009618,SprintStraightLength,should be between 100 and 150
4009618,StraightTrackLanes,should be between 4 and 12
4009627,OvalTrackLength,should be 400
4009627,SprintStraightLength,should be between 100 and 150
4009627,StraightTrackLanes,should be between 4 and 12
4009629,OvalTrackLength,should be 400
4009629,SprintStraightLength,should be between 100 and 150
4009629,StraightTrackLanes,should be between 4 and 12
2009636,OvalTrackLength,should be 400
2009636,SprintStraightLength,should be between 100 and 150
2009636,StraightTrackLanes,should be between 4 and 12
4009639,OvalTrackLength,should be 400
4009639,SprintStraightLength,should be between 100 and 150
4009639,StraightTrackLanes,should be between 4 and 12
2009645,OvalTrackLength,should be 400
2009645,SprintStraightLength,should be between 100 and 150
2009645,StraightTrackLanes,should be between 4 and 12
2009655,OvalTrackLength,should be 400
2009655,SprintStraightLength,should be between 100 and 150
2009655,StraightTrackLanes,should be between 4 and 12
4009657,OvalTrackLength,should be 400
4009657,SprintStraightLength,should be between 100 and 150
4009657,StraightTrackLanes,should be between 4 and 12
2038212,Length,should be between 17 and 26
2038212,Width,should be between 9 and 18
2038213,Length,should be between 17 and 26
2038213,Width,should be between 9 and 18
2038214,Length,should be between 17 and 26
2038214,Width,should be between 9 and 18
2028490,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4009683,OvalTrackLength,should be 400
4009683,SprintStraightLength,should be between 100 and 150
4009683,StraightTrackLanes,should be between 4 and 12
2009684,OvalTrackLength,should be 400
2009684,SprintStraightLength,should be between 100 and 150
2009684,StraightTrackLanes,should be between 4 and 12
4039385,Length,should be between 4 and 50
4039385,Width,should be between 3 and 30
2029332,OvalTrackLength,should be 400
2029332,SprintStraightLength,should be between 100 and 150
2029332,StraightTrackLanes,should be between 4 and 12
2008700,Length,should be between 17 and 26
2008700,Width,should be between 9 and 18
4008706,Length,should be between 4 and 50
4008706,Width,should be between 3 and 30
4008707,Length,should be between 4 and 50
4008707,Width,should be between 3 and 30
4008756,Length,should be between 5 and 61
4008756,Width,should be between 5 and 31
30012489,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4026816,Length,should be between 17 and 26
4026816,Width,should be between 9 and 18
4026817,Length,should be between 17 and 26
4026817,Width,should be between 9 and 18
4148750,Length,should be between 4 and 50
4148750,Width,should be between 3 and 30
2025694,Length,should be between 17 and 26
2025694,Width,should be between 9 and 18
4118034,Length,should be between 4 and 50
4118034,Width,should be between 3 and 30
4026635,Length,should be between 4 and 50
4026635,Width,should be between 3 and 30
4110447,Length,should be between 17 and 26
4110447,Width,should be between 9 and 18
4025655,Length,should be between 17 and 26
4025655,Width,should be between 9 and 18
4025668,Length,should be between 17 and 26
4025668,Width,should be between 9 and 18
2026479,Stations,should be between 5 and 700
2026480,Length,should be between 17 and 26
2026480,Width,should be between 9 and 18
4101665,Length,should be between 4 and 50
4101665,Width,should be between 3 and 30
2038071,Length,should be between 17 and 26
2038071,Width,should be between 9 and 18
4072075,Length,should be between 4 and 50
4072075,Width,should be between 3 and 30
4071601,Length,should be between 17 and 26
4071601,Width,should be between 9 and 18
2028838,Length,should be between 17 and 26
2028838,Width,should be between 9 and 18
4073910,Length,should be between 4 and 50
4073910,Width,should be between 3 and 30
4027829,Length,should be between 4 and 50
4027829,Width,should be between 3 and 30
4027830,Length,should be between 17 and 26
4027830,Width,should be between 9 and 18
4027831,Length,should be between 17 and 26
4027831,Width,should be between 9 and 18
2028272,Length,should be between 17 and 26
2028272,Width,should be between 9 and 18
4028821,Length,should be between 17 and 26
4028821,Width,should be between 9 and 18
4028924,Length,should be between 4 and 50
4028924,Width,should be between 3 and 30
4028951,Length,should be between 4 and 50
4028951,Width,should be between 3 and 30
2029276,Length,should be between 17 and 26
2029276,Width,should be between 9 and 18
4029386,Length,should be between 4 and 50
4029386,Width,should be between 3 and 30
4077952,Length,should be between 4 and 50
4077952,Width,should be between 3 and 30
4081270,Length,should be between 4 and 50
4081270,Width,should be between 3 and 30
4029389,Length,should be between 17 and 26
4029389,Width,should be between 9 and 18
2039275,Length,should be between 17 and 26
2039275,Width,should be between 9 and 18
4039273,Length,should be between 4 and 50
4039273,Width,should be between 3 and 30
4029410,Length,should be between 800 and 9000
2029463,Stations,should be between 5 and 700
4081332,Length,should be between 4 and 50
4081332,Width,should be between 3 and 30
4029478,Length,should be between 4 and 50
4029478,Width,should be between 3 and 30
2029499,Length,should be between 17 and 26
2029499,Width,should be between 9 and 18
4029511,OvalTrackLength,should be 400
4029511,SprintStraightLength,should be between 100 and 150
4029511,StraightTrackLanes,should be between 4 and 12
2029515,Length,should be between 17 and 26
2029515,Width,should be between 9 and 18
2029565,Width,should be between 53 and 100
4029570,OvalTrackLanes,should be between 4 and 10
4029570,OvalTrackLength,should be 400
4029570,SprintStraightLength,should be between 100 and 150
4029570,StraightTrackLanes,should be between 4 and 12
4078843,Length,should be between 4 and 50
4078843,Width,should be between 3 and 30
2029660,Length,should be between 17 and 26
2029660,Width,should be between 9 and 18
4029951,Length,should be between 17 and 26
4029951,Width,should be between 9 and 18
4030096,Length,should be between 17 and 26
4030096,Width,should be between 9 and 18
4030226,Length,should be between 17 and 26
4030226,Width,should be between 9 and 18
4030227,Length,should be between 17 and 26
4030227,Width,should be between 9 and 18
4030228,Length,should be between 17 and 26
4030228,Width,should be between 9 and 18
4029676,OvalTrackLength,should be 400
4029676,SprintStraightLength,should be between 100 and 150
4029676,StraightTrackLanes,should be between 4 and 12
4030579,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4070480,Length,should be between 4 and 50
4070480,Width,should be between 3 and 30
4030693,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4031200,Length,should be between 17 and 26
4031200,Width,should be between 9 and 18
4031589,Length,should be between 17 and 26
4032484,Length,should be between 17 and 26
4032484,Width,should be between 9 and 18
4032559,Length,should be between 17 and 26
4032559,Width,should be between 9 and 18
4032986,Length,should be between 17 and 26
4032986,Width,should be between 9 and 18
4032987,Length,should be between 17 and 26
4032987,Width,should be between 9 and 18
4032988,Length,should be between 17 and 26
4032988,Width,should be between 9 and 18
4032989,Length,should be between 17 and 26
4032989,Width,should be between 9 and 18
4032793,Length,should be between 17 and 26
4032793,Width,should be between 9 and 18
4032874,Length,should be between 17 and 26
4032874,Width,should be between 9 and 18
4033111,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4033856,Length,should be between 17 and 26
4039469,Length,should be between 17 and 26
4034331,Length,should be between 17 and 26
4034331,Width,should be between 9 and 18
4034354,Length,should be between 17 and 26
4034354,Width,should be between 9 and 18
4034574,Length,should be between 17 and 26
4034574,Width,should be between 9 and 18
4034661,Length,should be between 17 and 26
4034661,Width,should be between 9 and 18
4038097,Length,should be between 4 and 50
4038097,Width,should be between 3 and 30
4039868,Length,should be between 4 and 50
4039868,Width,should be between 3 and 30
4080260,Length,should be between 4 and 50
4080260,Width,should be between 3 and 30
4147901,Length,should be between 17 and 26
4147901,Width,should be between 9 and 18
4147902,Length,should be between 17 and 26
4147902,Width,should be between 9 and 18
4147903,Length,should be between 17 and 26
4147903,Width,should be between 9 and 18
4038723,Length,should be between 4 and 50
4038723,Width,should be between 3 and 30
4038738,Length,should be between 4 and 50
4038738,Width,should be between 3 and 30
4038758,Length,should be between 4 and 50
4038758,Width,should be between 3 and 30
4038762,Length,should be between 4 and 50
4038762,Width,should be between 3 and 30
4038764,Length,should be between 4 and 50
4038764,Width,should be between 3 and 30
4038778,Length,should be between 4 and 50
4038778,Width,should be between 3 and 30
4038779,Length,should be between 4 and 50
4038779,Width,should be between 3 and 30
4038781,Length,should be between 4 and 50
4038781,Width,should be between 3 and 30
4038799,Length,should be between 4 and 50
4038799,Width,should be between 3 and 30
4038919,Length,should be between 4 and 50
4038919,Width,should be between 3 and 30
4111621,Length,should be between 17 and 26
4111621,Width,should be between 9 and 18
4039288,Length,should be between 4 and 50
4039288,Width,should be between 3 and 30
4039462,Length,should be between 4 and 50
4039462,Width,should be between 3 and 30
4104638,Length,should be between 17 and 26
4104638,Width,should be between 9 and 18
4003907,Length,should be between 4 and 50
4003907,Width,should be between 3 and 30
4091677,Length,should be between 4 and 50
4091677,Width,should be between 3 and 30
4127016,Length,should be between 4 and 50
4127016,Width,should be between 3 and 30
2070587,Length,should be between 17 and 26
2070587,Width,should be between 9 and 18
2070598,Length,should be between 17 and 26
2070598,Width,should be between 9 and 18
2070896,Length,should be between 17 and 26
2070896,Width,should be between 9 and 18
4071489,Stations,should be between 5 and 700
2071620,Length,should be between 17 and 26
2071620,Width,should be between 9 and 18
4081269,Length,should be between 4 and 50
4081269,Width,should be between 3 and 30
4072164,Length,should be between 17 and 26
4072164,Width,should be between 9 and 18
4078081,Length,should be between 4 and 50
4078081,Width,should be between 3 and 30
4073376,Length,should be between 4 and 50
4073376,Width,should be between 3 and 30
2073693,Length,should be between 17 and 26
2073693,Width,should be between 9 and 18
2073818,Length,should be between 17 and 26
2073818,Width,should be between 9 and 18
2009325,OvalTrackLength,should be 400
2009325,SprintStraightLength,should be between 100 and 150
2009325,StraightTrackLanes,should be between 4 and 12
2074381,Length,should be between 17 and 26
2074381,Width,should be between 9 and 18
4082822,Length,should be between 4 and 50
4082822,Width,should be between 3 and 30
4083369,Length,should be between 4 and 50
4083369,Width,should be between 3 and 30
2074905,Length,should be between 17 and 26
2074905,Width,should be between 9 and 18
2074906,Length,should be between 17 and 26
2074906,Width,should be between 9 and 18
4074679,Length,should be between 4 and 50
4074679,Width,should be between 3 and 30
4074687,Length,should be between 4 and 50
4074687,Width,should be between 3 and 30
4080446,Length,should be between 4 and 50
4080446,Width,should be between 3 and 30
4074818,Stations,should be between 5 and 700
4077133,Length,should be between 4 and 50
4077133,Width,should be between 3 and 30
4077986,Length,should be between 4 and 50
4077986,Width,should be between 3 and 30
2078015,Length,should be between 17 and 26
2078015,Width,should be between 9 and 18
2078072,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4078704,Length,should be between 4 and 50
4078704,Width,should be between 3 and 30
4080430,Length,should be between 4 and 50
4080430,Width,should be between 3 and 30
4080431,Length,should be between 4 and 50
4080431,Width,should be between 3 and 30
4091876,Length,should be between 4 and 50
4091876,Width,should be between 3 and 30
4081300,Length,should be between 400 and 6000
2081426,Length,should be between 17 and 26
2081426,Width,should be between 9 and 18
2081471,Length,should be between 17 and 26
2081471,Width,should be between 9 and 18
2081473,Length,should be between 17 and 26
2081473,Width,should be between 9 and 18
4085328,Length,should be between 4 and 50
4085328,Width,should be between 3 and 30
2081500,Length,should be between 17 and 26
2081500,Width,should be between 9 and 18
2081518,Length,should be between 17 and 26
2081518,Width,should be between 9 and 18
2081514,Length,should be between 17 and 26
2081514,Width,should be between 9 and 18
2081544,Length,should be between 17 and 26
2081544,Width,should be between 9 and 18
4081545,Length,should be between 17 and 26
4081545,Width,should be between 9 and 18
2081541,Stations,should be between 5 and 700
2081568,Length,should be between 17 and 26
2081568,Width,should be between 9 and 18
4081575,Length,should be between 17 and 26
4081575,Width,should be between 9 and 18
2081561,Length,should be between 17 and 26
2081561,Width,should be between 9 and 18
4081583,Length,should be between 17 and 26
4081583,Width,should be between 9 and 18
4081627,Length,should be between 17 and 26
4081627,Width,should be between 9 and 18
4081628,Length,should be between 17 and 26
4081628,Width,should be between 9 and 18
2081636,Length,should be between 17 and 26
2081636,Width,should be between 9 and 18
4096249,Length,should be between 4 and 50
4096249,Width,should be between 3 and 30
2082341,Stations,should be between 5 and 700
4082631,Length,should be between 4 and 50
4082631,Width,should be between 3 and 30
4082636,Length,should be between 4 and 50
4082636,Width,should be between 3 and 30
2084250,Length,should be between 17 and 26
2084250,Width,should be between 9 and 18
4113921,Length,should be between 4 and 50
4113921,Width,should be between 3 and 30
4087135,Length,should be between 4 and 50
4087135,Width,should be between 3 and 30
4101893,Length,should be between 4 and 50
4101893,Width,should be between 3 and 30
2087783,Length,should be between 17 and 26
2087783,Width,should be between 9 and 18
2088021,Length,should be between 17 and 26
2088021,Width,should be between 9 and 18
2090982,Length,should be between 17 and 26
2090982,Width,should be between 9 and 18
4090983,Length,should be between 4 and 50
4090983,Width,should be between 3 and 30
2091415,Length,should be between 17 and 26
2091415,Width,should be between 9 and 18
4094575,Length,should be between 4 and 50
4094575,Width,should be between 3 and 30
4097009,Length,should be between 4 and 50
4097009,Width,should be between 3 and 30
4114964,ClearanceExistsBallShuttlecock,does not meet Active Places Criteria
4099555,Length,should be between 4 and 50
4099555,Width,should be between 3 and 30
4099949,Length,should be between 4 and 50
4099949,Width,should be between 3 and 30
4100633,Length,should be between 4 and 50
4100633,Width,should be between 3 and 30
4101327,Length,should be between 4 and 50
4101327,Width,should be between 3 and 30
4102528,Length,should be between 17 and 26
4114190,Length,should be between 4 and 50
4114190,Width,should be between 3 and 30
4104541,Length,should be between 4 and 50
4104541,Width,should be between 3 and 30
4106258,Length,should be between 400 and 6000
4107143,Length,should be between 4 and 50
4107143,Width,should be between 3 and 30
4110112,Length,should be between 4 and 50
4110112,Width,should be between 3 and 30
4110113,Length,should be between 4 and 50
4110113,Width,should be between 3 and 30
4107557,Length,should be between 4 and 50
4107557,Width,should be between 3 and 30
4109066,Length,should be between 4 and 50
4109066,Width,should be between 3 and 30
4114929,Length,should be between 4 and 50
4114929,Width,should be between 3 and 30
4127529,Length,should be between 4 and 50
4127529,Width,should be between 3 and 30
4109465,Length,should be between 4 and 50
4109465,Width,should be between 3 and 30
4110128,Length,should be between 17 and 26
4110128,Width,should be between 9 and 18
4110363,Length,should be between 17 and 26
4110363,Width,should be between 9 and 18
4110438,Length,should be between 17 and 26
4110438,Width,should be between 9 and 18
4110502,Length,should be between 17 and 26
4110502,Width,should be between 9 and 18
4110582,Length,should be between 17 and 26
4110582,Width,should be between 9 and 18
4110615,Length,should be between 17 and 26
4110615,Width,should be between 9 and 18
4110629,Length,should be between 17 and 26
4110629,Width,should be between 9 and 18
4110640,Stations,should be between 5 and 700
4110835,Length,should be between 17 and 26
4110835,Width,should be between 9 and 18
4110667,Length,should be between 17 and 26
4110667,Width,should be between 9 and 18
4110656,Length,should be between 17 and 26
4110656,Width,should be between 9 and 18
4110783,Length,should be between 17 and 26
4110783,Width,should be between 9 and 18
4110727,Length,should be between 17 and 26
4110727,Width,should be between 9 and 18
4110868,Length,should be between 17 and 26
4110868,Width,should be between 9 and 18
4110867,Length,should be between 17 and 26
4110867,Width,should be between 9 and 18
4111117,Length,should be between 17 and 26
4111117,Width,should be between 9 and 18
4116118,Length,should be between 17 and 26
4116118,Width,should be between 9 and 18
4111094,Length,should be between 17 and 26
4111094,Width,should be between 9 and 18
4110939,Length,should be between 17 and 26
4110939,Width,should be between 9 and 18
4110932,Length,should be between 17 and 26
4110932,Width,should be between 9 and 18
4110931,Length,should be between 17 and 26
4110931,Width,should be between 9 and 18
4110916,Length,should be between 17 and 26
4110916,Width,should be between 9 and 18
4111064,Length,should be between 17 and 26
4111064,Width,should be between 9 and 18
4111065,Length,should be between 17 and 26
4111065,Width,should be between 9 and 18
4111058,Length,should be between 17 and 26
4111058,Width,should be between 9 and 18
4111178,Length,should be between 17 and 26
4111178,Width,should be between 9 and 18
4111071,Length,should be between 17 and 26
4111071,Width,should be between 9 and 18
4111040,Length,should be between 17 and 26
4111040,Width,should be between 9 and 18
4111026,Length,should be between 17 and 26
4111026,Width,should be between 9 and 18
4111190,Length,should be between 17 and 26
4111190,Width,should be between 9 and 18
4111340,Length,should be between 17 and 26
4111340,Width,should be between 9 and 18
4111329,Length,should be between 17 and 26
4111329,Width,should be between 9 and 18
4111298,Length,should be between 17 and 26
4111298,Width,should be between 9 and 18
4111674,Length,should be between 17 and 26
4111674,Width,should be between 9 and 18
4111660,Length,should be between 4 and 50
4111660,Width,should be between 3 and 30
4111757,Length,should be between 17 and 26
4111757,Width,should be between 9 and 18
4111793,Length,should be between 17 and 26
4111793,Width,should be between 9 and 18
4112166,Length,should be between 17 and 26
4112166,Width,should be between 9 and 18
4112594,Length,should be between 17 and 26
4112594,Width,should be between 9 and 18
4112979,Length,should be between 4 and 50
4112979,Width,should be between 3 and 30
4113022,Length,should be between 17 and 26
4113022,Width,should be between 9 and 18
4112975,Length,should be between 17 and 26
4112975,Width,should be between 9 and 18
4112972,Length,should be between 17 and 26
4112972,Width,should be between 9 and 18
4113129,Length,should be between 17 and 26
4113129,Width,should be between 9 and 18
4113152,Length,should be between 17 and 26
4113152,Width,should be between 9 and 18
4113337,Length,should be between 4 and 50
4113337,Width,should be between 3 and 30
4113393,Length,should be between 17 and 26
4113393,Width,should be between 9 and 18
4113506,Length,should be between 17 and 26
4113506,Width,should be between 9 and 18
4113577,Length,should be between 4 and 50
4113577,Width,should be between 3 and 30
4113656,Length,should be between 17 and 26
4113656,Width,should be between 9 and 18
4113961,Length,should be between 4 and 50
4113961,Width,should be between 3 and 30
4114241,Length,should be between 17 and 26
4114241,Width,should be between 9 and 18
4114452,Length,should be between 4 and 50
4114452,Width,should be between 3 and 30
